iter	RMSE
0	13.29314572
1	11.88263792
2	10.84622558
3	9.831866197
4	9.135005648
5	8.450904641
6	7.946977253
7	7.520973592
8	7.177779866
9	6.905721654
10	6.654637422
11	6.472160548
12	6.32925554
13	6.206117632
14	6.081989697
15	5.987320945
16	5.919862519
17	5.876365883
18	5.818587255
19	5.762588248
20	5.717775179
21	5.696163579
22	5.670516502
23	5.654115281
24	5.641932096
25	5.601119455
26	5.574803551
27	5.556198732
28	5.525510801
29	5.509108401
30	5.497211949
31	5.485670921
32	5.470201141
33	5.449766556
34	5.435919458
35	5.425073096
36	5.41404146
37	5.402515601
38	5.387317269
39	5.37307817
40	5.367515193
41	5.357154232
42	5.342454378
43	5.330648854
44	5.322314525
45	5.31586349
46	5.311010537
47	5.302673514
48	5.290003888
49	5.273760131
50	5.256991743
51	5.243677209
52	5.240200104
53	5.221991402
54	5.212265799
55	5.206301374
56	5.195663062
57	5.188656087
58	5.184372011
59	5.171486667
60	5.163571897
61	5.154085715
62	5.148245617
63	5.141979519
64	5.128599965
65	5.115304983
66	5.109404157
67	5.100965614
68	5.082755624
69	5.07738836
70	5.068584985
71	5.060383979
72	5.047467622
73	5.034746745
74	5.031731927
75	5.015843124
76	4.998398781
77	4.988981875
78	4.979711235
79	4.97586112
80	4.965989419
81	4.963451808
82	4.959944016
83	4.951907642
84	4.948500479
85	4.939005949
86	4.933264741
87	4.928621152
88	4.924643331
89	4.919086235
90	4.908421979
91	4.899404803
92	4.890999063
93	4.882767861
94	4.87370631
95	4.866690212
96	4.855773388
97	4.849544099
98	4.844378521
99	4.838019463
