iter	Passed	Remaining
0	55	55759
1	56	28071
2	56	18811
3	56	14177
4	57	11400
5	57	9546
6	57	8221
7	58	7229
8	58	6455
9	58	5836
10	59	5333
11	59	4916
12	60	4560
13	60	4254
14	60	3992
15	61	3759
16	61	3558
17	61	3380
18	62	3221
19	62	3074
20	63	2940
21	63	2819
22	63	2708
23	64	2606
24	64	2515
25	64	2426
26	65	2345
27	65	2270
28	65	2203
29	66	2138
30	66	2077
31	66	2019
32	67	1966
33	67	1915
34	67	1866
35	68	1821
36	68	1778
37	68	1738
38	68	1700
39	69	1663
40	69	1628
41	69	1595
42	70	1563
43	70	1533
44	70	1504
45	71	1477
46	71	1450
47	71	1424
48	72	1400
49	72	1376
50	72	1353
51	73	1331
52	73	1310
53	73	1289
54	73	1270
55	74	1250
56	74	1232
57	74	1214
58	75	1197
59	75	1180
60	75	1164
61	75	1148
62	76	1133
63	76	1118
64	76	1104
65	77	1090
66	77	1077
67	77	1064
68	78	1062
69	79	1049
70	79	1037
71	79	1025
72	79	1015
73	80	1003
74	80	992
75	80	981
76	80	970
77	81	960
78	81	950
79	81	941
80	82	932
81	82	923
82	82	912
83	82	904
84	83	895
85	83	887
86	83	879
87	84	871
88	84	863
89	84	855
90	84	848
91	85	840
92	85	833
93	85	826
94	86	819
95	86	812
96	86	805
97	86	798
98	87	792
99	87	785
100	87	779
101	87	773
102	88	767
103	88	761
104	88	755
105	88	749
106	89	743
107	89	738
108	89	734
109	90	728
110	90	723
111	90	719
112	91	715
113	91	711
114	91	706
115	92	703
116	92	697
117	92	693
118	93	688
119	93	684
120	93	679
121	93	674
122	93	670
123	94	665
124	94	661
125	94	657
126	94	652
127	95	649
128	95	645
129	95	641
130	96	637
131	96	634
132	96	630
133	97	627
134	97	623
135	97	620
136	97	617
137	98	613
138	98	611
139	98	607
140	99	604
141	99	600
142	99	596
143	99	593
144	100	590
145	100	587
146	100	584
147	100	581
148	101	578
149	101	574
150	101	571
151	101	568
152	102	565
153	102	563
154	102	560
155	103	557
156	103	554
157	103	551
158	103	549
159	104	546
160	104	543
161	104	540
162	104	537
163	104	535
164	105	532
165	105	530
166	105	527
167	105	524
168	106	522
169	106	520
170	106	517
171	107	515
172	107	513
173	107	510
174	107	508
175	108	506
176	108	504
177	108	502
178	108	499
179	109	497
180	109	495
181	109	493
182	110	491
183	110	489
184	110	487
185	110	485
186	111	483
187	111	481
188	111	479
189	112	477
190	112	475
191	112	474
192	112	472
193	113	470
194	113	468
195	113	466
196	114	464
197	114	463
198	114	461
199	114	459
200	115	457
201	115	455
202	115	454
203	115	452
204	116	450
205	116	449
206	116	447
207	117	445
208	117	444
209	117	442
210	117	440
211	118	438
212	118	437
213	118	435
214	119	434
215	119	433
216	119	431
217	119	430
218	120	428
219	120	426
220	120	425
221	120	423
222	121	422
223	121	420
224	121	419
225	122	418
226	122	416
227	122	415
228	123	414
229	123	413
230	123	411
231	123	410
232	124	408
233	124	407
234	124	406
235	124	404
236	125	403
237	125	402
238	125	400
239	126	399
240	126	397
241	126	396
242	126	395
243	127	394
244	127	393
245	127	391
246	128	390
247	128	389
248	128	387
249	128	386
250	129	385
251	129	384
252	129	382
253	129	381
254	130	380
255	130	379
256	130	378
257	131	377
258	131	375
259	131	374
260	131	373
261	132	372
262	132	371
263	132	369
264	132	368
265	133	367
266	133	366
267	133	365
268	134	364
269	134	363
270	134	362
271	134	361
272	135	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	354
278	136	353
279	137	352
280	137	351
281	137	350
282	138	349
283	138	349
284	138	348
285	139	347
286	139	346
287	139	345
288	139	344
289	140	343
290	140	342
291	140	341
292	141	340
293	141	339
294	141	338
295	141	337
296	142	336
297	142	335
298	142	334
299	143	333
300	143	332
301	143	331
302	143	330
303	144	330
304	144	329
305	144	328
306	145	327
307	145	326
308	145	325
